"","zip","city","state","latitude","longitude"
"501","01702","Framingham","MA",42.283995,-71.42161
"502","01703","Framingham","MA",42.446396,-71.459405
"503","01704","Framingham","MA",42.446396,-71.459405
"504","01705","Framingham","MA",42.446396,-71.459405
"505","01718","Village Of Nagog Woods","MA",42.519739,-71.42721
"506","01719","Boxborough","MA",42.486259,-71.51244
"507","01720","Acton","MA",42.477142,-71.4422
"508","01721","Ashland","MA",42.257956,-71.45886
"509","01730","Bedford","MA",42.496679,-71.27504
"510","01731","Hanscom AFB","MA",42.459085,-71.27556
"511","01740","Bolton","MA",42.437086,-71.61266
"512","01741","Carlisle","MA",42.5286,-71.35084
"513","01742","Concord","MA",42.457201,-71.37478
"514","01745","Fayville","MA",42.295544,-71.50468
"515","01746","Holliston","MA",42.196065,-71.43797
"516","01747","Hopedale","MA",42.125536,-71.53662
"517","01748","Hopkinton","MA",42.220447,-71.53418
"518","01749","Hudson","MA",42.389813,-71.55791
"519","01750","Natick","MA",42.273817,-71.378157
"520","01752","Marlborough","MA",42.350909,-71.54753
"521","01754","Maynard","MA",42.430781,-71.45594
"522","01756","Mendon","MA",42.092006,-71.54474
"523","01757","Milford","MA",42.149176,-71.52149
"524","01760","Natick","MA",42.290763,-71.35368
"525","01770","Sherborn","MA",42.231025,-71.37202
"526","01772","Southborough","MA",42.297643,-71.53369
"527","01773","Lincoln","MA",42.425537,-71.30316
"528","01775","Stow","MA",42.423882,-71.51086
"529","01776","Sudbury","MA",42.38532,-71.42989
"530","01778","Wayland","MA",42.345583,-71.35643
"531","01784","Woodville","MA",42.446396,-71.459405
"532","01801","Woburn","MA",42.484545,-71.15206
"533","01803","Burlington","MA",42.506362,-71.20008
"534","01805","Burlington","MA",42.446396,-71.459405
"535","01806","Woburn","MA",42.446396,-71.459405
"536","01807","Woburn","MA",42.446396,-71.459405
"537","01808","Woburn","MA",42.446396,-71.459405
"538","01810","Andover","MA",42.646942,-71.1513
"539","01812","Andover","MA",42.647191,-71.184202
"540","01813","Woburn","MA",42.446396,-71.459405
